CTYDIST,ELEMDIST1,DNAME,DADDRESS1,DADDRESS2,DCITY,DZIP,DCOUNTY,DSUPAREA,DPYC,DPYAV,DPYTATL,DPHONE,DFAX,DELEMSN,DELEMST,DELEMSRS,DELEMSNS,DELEMSTS,DMIDSSN,DMIDSST,DMIDSSRS,DMIDSSNS,DMIDSSTS,DJRSN,DJRST,DJRSRS,DJRSNS,DJRSTS,DHIGHSN,DHIGHST,DHIGHSRS,DHIGHSNS,DHIGHSTS,DTOTSCHL,DTOTTECH,DTOTRES,DTOTNRES,DTOTSTU,PRESTITL,PRESLN,PRESFN,PRESMI,SECTITL,SECLN,SECFN,SECMI,SDLNAME,SDFNAME,SDMINIT,SDSALUAT,DIEMAIL,URL,HouseDistricts,SenateDistricts,CongressionalDistricts
075087,,Alton R-IV ,505 School Street,,Alton,656069677,Oregon ,G,A,"$44,088,507.00",2.7500,4177787216,4177786394,1,31,263,0,263,0,0,0,0,0,0,0,0,0,0,1,35,322,0,322,2,66,585,0,585,Mrs.,Granger,Becky,,Mrs.,Reed,Kelli,,Allen,Eric,L,Dr.,ericallen@alton.k12.mo.us,http://alton.k12.mo.us,143,33 ,08
093120,,Appleton City R-II ,408 W 4th ,,Appleton City ,647241408,St. Clair ,F,A,"$30,661,484.00",4.2862,6604762161,6604765564,1,20,147,0,147,0,0,0,0,0,0,0,0,0,0,1,24,161,21,182,2,44,308,21,329,Mrs.,Preston,Stephanie,,Ms.,Long,Sandra,,Miller,Sarah,J,Ms.,office@appletoncity.k12.mo.us,http://appletoncity.k12.mo.us/,"125, 126","28 , 31 ",04
047062,,Arcadia Valley R-II ,750 Park Drive ,,Ironton ,636501414,Iron ,G,A,"$67,217,050.00",3.3700,5735469700,5735467314,1,34,355,0,355,1,32,267,0,267,0,0,0,0,0,1,43,300,31,331,3,109,922,31,953,Mr.,Inman ,Byron ,B,Mr.,Gibbs ,Ronnie ,,Beard ,Brian ,D,Dr.,bbeard@avr2.org,http://www.avr2.org,"144, 145","27 , 3  ",08
019139,,Archie R-V ,302 W State Route A ,,Archie ,647258217,Cass ,B,A,"$43,550,940.00",4.6220,8162935312,8162935641,1,25,221,0,221,0,0,0,0,0,0,0,0,0,0,1,32,282,0,282,2,57,503,0,503,Mrs.,Clark,April,,Mrs.,Deardorff ,Rebecca ,,Kramer ,Jeffrey ,,Mr.,jkramer@archie.k12.mo.us,http://archie.k12.mo.us,"55 , 56 , 57 ",31 ,04
039135,,Ash Grove R-IV ,100 N Maple Lane ,,Ash Grove ,656049113,Greene ,C,A,"$70,847,222.00",3.6326,4177512534,4177512283,2,39,404,0,404,0,0,0,0,0,0,0,0,0,0,1,33,304,0,304,3,72,708,0,708,Mr.,Duncan ,Bill ,,Mrs.,Belker ,Linlley ,A,Gerla,Aaron,,Dr.,agerla@agpirates.com,http://www.agpirates.com,"127, 130, 157","20 , 29 , 32 ","04, 07"
061150,,Atlanta C-3 ,600 S Atterberry ,P.O. Box 367 ,Atlanta ,635300367,Macon ,I,A,"$18,851,876.00",3.9087,6602394212,6602394205,1,18,98,0,98,0,0,0,0,0,0,0,0,0,0,1,17,97,0,97,2,35,195,0,195,Mr.,Young,Nate,,Mrs.,Gladhill,Janet,,Perkins ,William ,W,Mr.,wperkins@atlanta.k12.mo.us,http://atlanta.k12.mo.us/,"5  , 6  ",18 ,06
115933,,Atlas Public Schools ,2845 Washington Blvd.,2845 Washington Blvd.,St. Louis,631030000,St. Louis City ,A,,,,3144374898,9999999999,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.,Kirk,Russ,,Ms.,Dickherber,Alice,,Heckendorn,Colby,,Mr.,info@atlaspublic.org,http://https://www.atlaspublic.org/,,,
055110,,Aurora R-VIII ,201 S Madison ,,Aurora ,656051422,Lawrence ,C,A,"$130,613,690.00",3.8000,4176783373,4177170295,2,101,989,0,989,0,0,0,0,0,1,29,275,0,275,1,50,506,0,506,4,180,1770,0,1770,Mr.,Grosenbacher ,Jeramie ,,Ms.,Coatney ,Kate ,A,Redus ,Billy ,,Dr.,BREDUS@AURORAR8.ORG,http://https://www.aurorar8.org/,"157, 158",29 ,07
034124,,Ava R-I ,507 North Spring Street,P.O. Box 338 ,Ava ,656080338,Douglas ,C,A,"$114,630,145.00",2.7500,4176834717,4176836329,1,43,535,0,535,1,43,388,0,388,0,0,0,0,0,1,43,418,31,449,3,129,1341,31,1372,Mr.,Henry,Mark,,Mr.,Dry ,Chance ,,Dalton ,Aaron ,,Mr.,adalton@avabears.net,http://www.avaschools.k12.mo.us,"140, 141, 155","20 , 33 ","04, 07, 08"
002090,Y,Avenue City R-IX ,18069 Highway 169 ,18069 Highway 169 ,Cosby ,644368115,Andrew ,H,A,"$28,604,676.00",4.3784,8166622305,8166623201,1,21,197,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,197,0,197,Mr.,Davison ,Rodney ,,Mrs.,Pankau ,Janice ,S,Lawrence ,Don ,L,Mr.,dlawrence@avenuecityschool.org,http://www.avenuecityschool.org,9  ,12 ,06
049135,Y,Avilla R-XIII ,400 Sarcoxie St. ,P.O. Box 7 ,Avilla ,648330007,Jasper ,C,A,"$23,978,853.00",3.4560,4172465330,4172465432,1,17,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,126,0,126,Mr.,Gubser ,Travis ,,Mrs.,Hylton ,Birgit ,E,Cruzan ,Russ ,,Mr.,rcruzan@avillapanthers.org,http://avillapanthers.org,127,32 ,07
077101,,Bakersfield R-IV ,357 State Highway O ,P.O. Box 38 ,Bakersfield ,656090038,Ozark ,C,A,"$16,403,458.00",4.7645,4172847333,4172847335,1,19,163,5,168,0,0,0,0,0,0,0,0,0,0,1,23,196,29,225,2,42,359,34,393,Mr.,Scott ,Michael ,,Mrs.,Bridges ,Lola ,J,Britt,Amy,,Mrs.,abritt@BAKERSFIELD.K12.MO.US,http://bakersfield.k12.mo.us,"154, 155",33 ,08
007122,,Ballard R-II ,10247 N.E. State Route 18 ,,Butler ,647309204,Bates ,F,A,"$13,253,234.00",5.0118,8162972656,8162974002,1,15,67,0,67,0,0,0,0,0,0,0,0,0,0,1,13,50,1,51,2,28,117,1,118,Mrs.,Hill ,Jacque ,L,Mrs.,Light ,Melinda ,K,Harley,Derrick,L,Dr.,dhartley@ballard.k12.mo.us,http://www.ballardr2.net,"126, 57 ",31 ,04
096099,,Bayless ,4530 Weber Road ,,St. Louis ,631235722,St. Louis ,A,A,"$200,129,610.00",4.3628,3142568600,3145446315,1,80,755,0,755,0,0,0,0,0,1,41,394,0,394,1,46,520,0,520,3,167,1669,0,1669,Mr.,Preisack ,Jeffrey ,,Mrs.,Meyer-Higgins,Deborah,,Tucker ,Ronald ,J,Mr.,RTUCKER@BAYLESS.K12.MO.US,http://www.baylessk12.org,"92 , 93 ",1  ,"01, 02"
103128,,Bell City R-II ,25254 Walnut St. ,,Bell City ,637351000,Stoddard ,E,A,"$48,808,664.00",3.1489,5737334444,5737334114,1,17,113,0,113,0,0,0,0,0,0,0,0,0,0,1,16,104,0,104,2,33,217,0,217,Mr.,Abner ,Ben ,,Mr.,Anderson ,Mark ,,Asher ,Matthew ,A,Mr.,masher@bellcity.k12.mo.us,http://www.bellcity.k12.mo.us,,25 ,08
047064,Y,Belleview R-III ,27431 Highway 32 ,27431 Highway 32 ,Belleview ,636236316,Iron ,G,A,"$11,918,730.00",3.3302,5736975702,5736975701,1,11,112,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,112,0,112,Mrs.,Sanders ,Brandelyn ,,Mrs.,Lindsey,Mary,,Forshee,Ray,S,Mr.,rforshee@belleviewbraves.org,http://none,144,3  ,08
019152,,Belton 124 ,110 W Walnut ,110  W Walnut ,Belton ,640124808,Cass ,B,A,"$428,885,125.00",5.4119,8164897000,8164897005,6,187,2421,0,2421,0,0,0,0,0,0,0,0,0,0,2,171,2163,0,2163,8,358,4584,0,4584,Mr.,Miller ,Jerry ,,Ms.,Stocking ,Teresa ,,Underwood ,Andrew ,,Dr.,AUNDERWOOD@bsd124.org,http://www.beltonschools.org,56 ,31 ,"04, 05"
103135,,Bernie R-XIII ,516 W Main ,,Bernie ,638229575,Stoddard ,E,A,"$41,109,034.00",3.2705,5732935333,5732935731,1,29,305,2,307,0,0,0,0,0,0,0,0,0,0,1,25,220,1,221,2,54,525,3,528,Mrs.,Zoll ,Judy ,,,Mouton,Dena,,Hicks,Dustin,,Mr.,HICKSD@BERNIE.K12.MO.US,http://www.bernie.k12.mo.us,,25 ,08
061151,,Bevier C-4 ,400 Bloomington St. ,,Bevier ,635321299,Macon ,I,A,"$15,877,993.00",3.7668,6607736611,6607736955,1,20,122,0,122,0,0,0,0,0,0,0,0,0,0,1,14,51,17,68,2,34,173,17,190,Mrs.,Yount ,Debbie ,,Mrs.,Cole ,Melissa ,,Bruner ,Zach ,K,Dr.,brunerz@bevier.k12.mo.us,http://www.bevierc4.com,6  ,18 ,06
022091,,Billings R-IV ,118 W Mt Vernon ,118 W. Mt. Vernon,Billings ,656109713,Christian ,C,A,"$43,064,618.00",4.0309,4177442623,4177444545,1,19,220,0,220,0,0,0,0,0,0,0,0,0,0,1,20,172,0,172,2,39,392,0,392,Mr.,Bos,Chris,,Mrs.,Jones ,Janis ,,Brandt ,Cynthia ,,Mrs.,brandtc@billings.k12.mo.us,http://www.billings.k12.mo.us,138,"20 , 29 ",07
094076,,Bismarck R-V ,165 Campus Drive ,P.O. Box 257 ,Bismarck ,636240257,St. Francois ,E,A,"$32,654,467.00",4.2271,5737346111,5737342957,1,24,233,0,233,0,0,0,0,0,0,0,0,0,0,1,23,276,0,276,2,47,509,0,509,Mr.,Dunn,Matthew,,Mr.,Radford,Aaron,,King ,Jason ,L,Mr.,jking@bismarckr5.org,http://www.bismarckr5.org/,"117, 144",3  ,08
027055,Y,Blackwater R-II ,300 Doddridge ,P.O. Box 117 ,Blackwater ,653220117,Cooper ,D,A,"$11,168,308.00",3.8695,6608462461,6608462431,1,17,87,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,87,1,88,Mr.,Hiller ,John ,,Mr.,Painter ,Austin ,,Brown ,Tanya ,M,Mrs.,TBROWN@BLACKWATER.K12.MO.US,http://www.blackwater.k12.mo.us,48 ,"19 , 21 ","04, 05"
026002,,Blair Oaks R-II ,6124 Falcon Lane ,,Jefferson City ,651019157,Cole ,D,A,"$127,968,805.00",4.2600,5736362020,5736362202,1,34,400,0,400,1,33,373,0,373,0,0,0,0,0,1,40,465,0,465,3,107,1238,0,1238,Mrs.,Russell ,Nicki ,,Ms.,Feely ,Audrey ,,Jones ,James ,K,Dr.,jjones@blairoaks.org,http://www.blairoaks.k12.mo.us,"59 , 62 ",6  ,03
103131,,Bloomfield R-XIV ,505 COURT St,,Bloomfield ,638250650,Stoddard ,E,A,"$55,002,576.00",3.3600,5735684564,5735684565,1,29,257,0,257,1,22,176,0,176,0,0,0,0,0,2,26,210,0,210,4,77,643,0,643,Mrs.,Causey,Louise,,Mr.,Bell,Justin,,Hill,Toni,,Mrs.,thill@bps14.org,http://www.bps14.org,,25 ,08
104045,,Blue Eye R-V ,658 State Highway EE ,P.O. Box 105 ,Blue Eye ,656110105,Stone ,C,A,"$147,196,444.00",3.9717,4177795332,4177792151,1,20,182,0,182,1,24,142,0,142,0,0,0,0,0,1,24,172,1,173,3,68,496,1,497,Mr.,Patton ,Steve ,,Mr.,Miller ,Jeff ,,Arnold ,Doug ,,Dr.,darnold@blueeye.k12.mo.us,http://www.blueeye.k12.mo.us,,29 ,07
048068,,Blue Springs R-IV ,1801 N.W. Vesper ,,Blue Springs ,640153219,Jackson ,B,A,"$1,813,610,615.00",5.7286,8168743200,8162241310,14,569,6554,0,6554,4,264,3565,0,3565,0,0,0,0,0,2,364,4584,0,4584,20,1197,14703,0,14703,Mrs.,Gilstrap ,Rhonda ,,Ms.,Keener ,Karin ,,Jerome ,Bob ,,Dr.,BJEROME@BSSD.NET,http://www.bssd.net,"20 , 21 , 29 , 30 , 31 , 32 , 33 ","11 , 8  ","05, 06"
084001,,Bolivar R-I ,524 W Madison ,524 W Madison St,Bolivar ,656131945,Polk ,C,A,"$206,620,632.00",3.8200,4173265291,4173263562,3,119,1248,0,1248,1,59,644,0,644,0,0,0,0,0,1,76,887,0,887,5,254,2779,0,2779,Mr.,Lancaster ,Kyle ,,Mrs.,Anderson ,Sheila ,,Asbill ,Richard ,,Dr.,rasbill@bolivarschools.org,http://www.bolivarschools.org,"125, 128",28 ,"04, 07"
082105,Y,Boncl R-X ,23526 Pike 9247 ,,Louisiana ,633534103,Pike ,I,A,"$12,109,152.00",4.6500,5737545412,5737547981,1,10,40,14,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,40,14,54,Mrs.,Beer ,Linda ,,Mrs.,Henson ,Lori ,,Huckstep-Spangler,Cassandra,,Dr.,cspangler@bonclbluejays.com,http://www.bonclbluejays.com,40 ,18 ,06
027061,,Boonville R-I ,736 Main St. ,,Boonville ,652331656,Cooper ,D,A,"$162,717,387.00",4.9149,6608827474,6608825721,2,66,664,1,665,1,34,341,0,341,0,0,0,0,0,1,64,507,38,545,4,164,1512,39,1551,Mr.,Gann ,Jim ,,Mrs.,Bird,Katie,,Marriott ,Sarah ,,Dr.,sarah.marriott@bpsk12.net,http://www.boonville.k12.mo.us/,"47 , 48 , 50 ","19 , 6  ",04
017124,,Bosworth R-V ,102 E Eldridge St. ,,Bosworth ,646238267,Carroll ,F,A,"$8,712,223.00",4.0522,6605347311,6605347409,1,9,32,0,32,0,0,0,0,0,0,0,0,0,0,1,11,23,0,23,2,20,55,0,55,Mrs.,Huffmon,Susan,,Mrs.,Grimes,Donna,,Smith ,Lachrissa ,,Mrs.,SUPERINTENDENT@BOSWORTHR-V.K12.MO.US,,39 ,21 ,06
082100,,Bowling Green R-I ,700 W. Adams Street ,,Bowling Green ,633340005,Pike ,I,A,"$125,565,846.00",3.8678,5733245441,5733242439,2,63,648,0,648,1,33,312,0,312,0,0,0,0,0,1,46,408,1,409,4,142,1368,1,1369,Mr.,Chandler ,Allen ,,Mr.,Scherder ,Brian ,,Frederickson ,Matt ,,Dr.,MFREDERICKSON@BGSCHOOLS.K12.MO.US,http://www.bgschools.k12.mo.us,40 ,18 ,"03, 06"
106001,,Bradleyville R-I ,16474 N. State Highway 125,PO Box 20,Bradleyville,656140020,Taney ,C,A,"$9,870,616.00",8.6016,4177962288,4177962289,1,13,91,0,91,0,0,0,0,0,0,0,0,0,0,1,16,95,41,136,2,29,186,41,227,Mr.,Adams,Jackie,,Mr.,Robertson,James,,Carey,Joel,,Dr.,jcarey@bradleyviller1.com,http://www.bradleyviller1.com,,"20 , 29 , 33 ","07, 08"
106004,,Branson R-IV ,1756 Bee Creek Road ,,Branson ,656168142,Taney ,C,A,"$753,670,648.00",4.0941,4173346541,4172432528,5,244,2475,0,2475,0,0,0,0,0,1,65,730,0,730,1,109,1408,34,1442,7,418,4613,34,4647,Mr.,Frieze ,Roger ,,Mrs.,Bryant ,Kimberly ,A,Swofford ,Brad ,,Dr.,swofford@branson.k12.mo.us,http://www.branson.k12.mo.us/,,29 ,07
013061,,Braymer C-4 ,400 Bobcat Avenue ,,Braymer ,646249750,Caldwell ,H,A,"$22,571,713.00",3.7500,6606452284,6606452780,1,18,134,0,134,0,0,0,0,0,0,0,0,0,0,1,16,143,6,149,2,34,277,6,283,Mrs.,Davies ,Emily ,,Mrs.,Davidson ,Vickie ,,Schroeder ,Wade ,,Mr.,wschroeder@braymerc4.net,http://braymerbobcats.org,"39 , 7  , 8  ",21 ,"05, 06"
013054,,Breckenridge R-I ,400 W Colfax St. ,,Breckenridge ,646259608,Caldwell ,H,A,"$7,250,830.00",5.0073,6606445715,6606445710,1,10,32,0,32,0,0,0,0,0,0,0,0,0,0,1,13,31,0,31,2,23,63,0,63,Mrs.,Farr ,Rachel ,,Mrs.,Sayers ,Rosemary ,,Skinner ,Brent ,A,Mr.,BSKINNER@BRECKENRIDGER1.ORG,,"2  , 7  , 8  ","12 , 21 ",06
096101,,Brentwood ,1201 Hanley Industrial Court ,,Brentwood ,631440000,St. Louis ,A,A,"$378,249,430.00",4.6265,3149624507,3149627302,3,63,356,42,398,1,34,164,2,166,0,0,0,0,0,1,37,208,4,212,5,134,728,48,776,Ms.,Spencer,Lindsay,,Ms.,Nehrt,Melissa,,Lane ,Brian ,,Dr.,blane@brentwoodmoschools.org,http://www.brentwoodmoschools.org,"83 , 87 ","1  , 4  ","01, 02"
108143,,Bronaugh R-VII ,527 E 6th St. ,,Bronaugh ,647289505,Vernon ,C,A,"$14,896,938.00",4.2505,4179223211,4179223308,1,16,98,1,99,0,0,0,0,0,0,0,0,0,0,1,13,84,1,85,2,29,182,2,184,Mr.,Linn ,Ryan ,,Mrs.,Gooch ,Sheila ,,Dickey,Jordan,,Mrs.,jdickey@bronaugh.k12.mo.us,http://www.bronaughschools.net,,31 ,04
058112,,Brookfield R-III ,124a Pershing Road ,,Brookfield ,646282731,Linn ,I,A,"$72,110,263.00",4.8745,6602587443,6602584711,1,35,348,3,351,1,30,280,1,281,0,0,0,0,0,1,36,293,3,296,3,101,921,7,928,Mr.,Mcintyre ,Jim ,,Mrs.,Stephens ,Rebecca ,S,Collins ,Kyle ,A,Dr.,kcollins@brookfieldr3.org,http://www.brookfield.k12.mo.us/,"39 , 6  , 7  ",18 ,06
048916,,Brookside Charter School ,1815 East 63 Street ,,Kansas City ,641303436,Jackson ,B, .,,,8165312192,8167563055,1,49,511,0,511,1,26,207,0,207,0,0,0,0,0,0,1,0,0,0,2,76,718,0,718,Mr.,Sipes ,Eric ,,Ms.,Twyman ,Sherry ,,Offield ,Roger ,,Mr.,roffield@brooksidecharter.org,http://www.brooksidecharter.org,,,
021149,,Brunswick R-II ,1008 County Road ,,Brunswick ,652361445,Chariton ,I,A,"$25,228,216.00",3.6130,6605483550,6604314034,1,19,157,5,162,0,0,0,0,0,0,0,0,0,0,1,17,96,6,102,2,36,253,11,264,Mr.,Sims ,Reggie ,,Ms.,Speichinger ,Kimberly ,S,Engelbrecht ,Cara ,L,Mrs.,CENGELBRECHT@BRUNSWICK.K12.MO.US,http://www.brunswick.k12.mo.us,"39 , 48 ","18 , 21 ","05, 06"
011079,,Buchanan Co. R-IV ,702 Main St. ,,DeKalb ,644409634,Buchanan ,H,A,"$24,233,080.00",5.2810,8166853160,8166853203,1,19,159,0,159,0,0,0,0,0,0,0,0,0,0,1,20,120,0,120,2,39,279,0,279,Mr.,Hanshaw ,Jeremy ,,Mrs.,Knorr ,Tonya ,S,Dittemore ,Travis ,A,Mr.,travis.dittemore@bcr4.org,http://www.bcr4.org,11 ,34 ,06
058107,,Bucklin R-II ,26832 Highway 129 ,,Bucklin ,646319230,Linn ,I,A,"$12,753,296.00",5.3409,6606953555,6606953345,1,17,68,0,68,0,0,0,0,0,0,0,0,0,0,1,15,70,0,70,2,32,138,0,138,Mr.,King,Ed,,Mrs.,McCune,Megan,D,Shelby,Kelly,D,Dr.,kshelby@bucklin.k12.mo.us,http://bucklin.k12.mo.us,"6  , 7  ",18 ,06
090077,,Bunker R-III ,Highway 72 & Eagle Pride Drive ,P.O. Box 365 ,Bunker ,636290365,Reynolds ,G,A,"$50,447,314.00",2.7500,5736892507,5736891268,1,16,114,0,114,0,0,0,0,0,0,0,0,0,0,1,15,112,0,112,2,31,226,0,226,Mr.,Sutton ,Todd ,,Mrs.,Dickerson ,Stephanie ,A,Nash ,Melissa ,,Mrs.,Mnash@bunkerr3.k12.mo.us,http://www.bunkerr3.k12.mo.us,"143, 144","16 , 25 , 3  ",08
007129,,Butler R-V ,420 S Fulton St. ,,Butler ,647302058,Bates ,F,A,"$81,418,493.00",4.7539,6606790653,6602003010,2,48,516,0,516,0,0,0,0,0,0,0,0,0,0,1,46,453,5,458,3,94,969,5,974,Mr.,Stephens ,Brad ,,Mrs.,Mccrary ,Stacy ,,Carter ,Darin ,,Mr.,darin.carter@butler.k12.mo.us,http://butlerr5.org/,126,31 ,04
107155,,Cabool R-IV ,725 Main Street ,,Cabool ,656897359,Texas ,G,A,"$61,397,588.00",3.2135,4179623153,4179625043,1,33,290,0,290,1,25,219,0,219,0,0,0,0,0,1,25,194,0,194,3,83,703,0,703,Mr.,Luerssen ,Mike ,,Mrs.,Randall ,Missy ,A,Janson ,Karl ,E,Dr.,kjanson@cabool.k12.mo.us,http://www.cabool.k12.mo.us,,33 ,08
041001,,Cainsville R-I ,1308 Depot St. ,P.O. Box 108 ,Cainsville ,646320108,Harrison ,H,A,"$6,496,901.00",5.9022,6608935213,6608935713,1,12,44,4,48,0,0,0,0,0,0,0,0,0,0,1,11,49,4,53,2,23,93,8,101,Mr.,Mercer ,Edward ,E,Mrs.,Willis,Maryke,,Rosenbaum,Ryan,,Mr.,rosenbaum@cainsville.k12.mo.us,http://cainsville.k12.mo.us,"2  , 3  ",12 ,06
042117,,Calhoun R-VIII ,409 S College ,,Calhoun ,653231309,Henry ,F,A,"$15,439,134.00",3.4216,6606943422,6606943501,2,16,64,0,64,0,0,0,0,0,0,0,0,0,0,1,11,49,0,49,3,27,113,0,113,Mrs.,Kreisel,Vickie,,Ms.,Harrison,Jane,,Stocks,Shane,,Mr.,sstocks@calhoun.k12.mo.us,http://www.calhoun.k12.mo.us,57 ,31 ,04
061157,Y,Callao C-8 ,403 Pine Street ,P.O. Box A ,Callao ,635340205,Macon ,I,A,"$7,384,507.00",4.3000,6607685541,6607685699,1,11,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,51,0,51,Mr.,Mahoney,Alan,,Mrs.,Jackson ,Rachel ,G,Halstead ,Pamela ,,Mrs.,phalstead@callaoc8.k12.mo.us,http://www.callaoc8.com,6  ,18 ,06
015002,,Camdenton R-III ,119 Service Road ,P.O. Box 1409 ,Camdenton ,650209525,Camden ,D,A,"$1,254,276,635.00",2.9700,5733469213,5733469211,5,232,1947,0,1947,1,64,641,0,641,0,0,0,0,0,2,128,1348,0,1348,8,424,3936,0,3936,Mrs.,Griswold ,Gail ,,Mrs.,Leu ,Linda ,,Hadfield ,Tim ,,Dr.,thadfield@camdentonschools.org,http://www.camdentonschools.org,"123, 124, 129, 58 ","16 , 28 , 6  ","03, 04"
